image_name,BBox_xmin,BBox_ymin,BBox_xmax,BBox_ymax,Daily,Gender,Embellishment
1209/BO00001-1.jpg,45,197,313,393,4,4,0
1209/BO00002-1.jpg,117,114,476,556,1,4,1
1209/BO00003-1.jpg,62,212,372,544,1,4,0
1209/BO00004-1.jpg,159,17,484,395,1,4,1
1209/BO00005-1.jpg,51,54,561,441,1,2,0
1209/BO00007-1.jpg,167,184,435,444,4,4,0
1209/BO00008-1.jpg,116,205,404,425,1,2,0
1209/BO00009-1.jpg,124,239,380,423,1,2,0
1209/BO00010-1.jpg,22,104,499,418,4,4,0
1209/BO00011-1.jpg,189,231,357,463,4,4,0
1209/BO00012-1.jpg,106,240,426,641,3,3,0
1209/BO00013-1.jpg,118,171,402,583,4,4,0
1209/BO00014-1.jpg,30,59,611,777,1,4,0
1209/BO00016-1.jpg,46,75,574,654,4,4,0
1209/BO00017-1.jpg,125,144,404,405,1,4,0
1209/BO00020-1.jpg,14,6,702,725,1,4,0
1209/BO00021-1.jpg,107,40,395,435,1,4,0
1209/BO00022-1.jpg,79,192,427,656,1,4,0
1209/BO00023-1.jpg,84,74,361,386,1,4,0
1209/BO00024-1.jpg,57,57,385,617,1,4,0
1209/BO00025-1.jpg,103,154,331,474,1,4,0
1209/BO00026-1.jpg,55,82,336,503,1,4,1
1209/BO00030-1.jpg,37,13,518,828,3,0,0
1209/BO00033-1.jpg,146,0,498,499,4,4,2
1209/BO00035-1.jpg,82,60,569,407,1,4,0
1209/BO00036-1.jpg,95,35,575,356,1,4,0
1209/BO00039-1.jpg,71,1,639,757,1,2,1
1209/BO00040-1.jpg,141,38,557,498,4,4,2
1209/BO00041-1.jpg,61,2,477,418,1,4,2
1209/BO00042-1.jpg,35,27,591,398,1,4,0
1209/BO00043-1.jpg,101,22,597,750,1,4,0
1209/BO00044-1.jpg,132,66,656,690,1,4,0
1209/BO00045-1.jpg,49,21,633,496,1,4,0
1209/BO00046-1.jpg,119,74,630,487,1,4,0
1209/BO00048-1.jpg,153,2,669,742,4,4,2
1209/BO00050-1.jpg,108,69,627,378,1,4,0
1209/BO00051-1.jpg,142,44,611,449,1,4,0
1209/BO00052-1.jpg,134,3,600,628,1,4,0
1209/BO00053-2.jpg,178,20,472,440,1,4,1
1209/BO00054-1.jpg,240,29,530,356,1,4,1
1209/BO00055-1.jpg,105,29,744,697,4,4,0
1209/BO00056-1.jpg,192,44,528,560,1,4,0
1209/BO00057-1.jpg,134,52,672,620,1,4,0
1209/BO00058-1.jpg,143,13,633,714,4,4,1
1209/BO00059-1.jpg,213,29,525,377,4,4,0
1209/BO00060-1.jpg,4,34,756,662,1,4,0
1209/BO00061-1.jpg,152,47,576,495,1,4,0
1209/BO00063-1.jpg,176,33,636,465,1,4,0
1209/BO00064-1.jpg,183,28,595,433,1,4,0
1209/BO00065-1.jpg,8,42,708,742,1,4,2
1209/BO00067-1.jpg,201,20,629,356,1,4,1
1209/BO00068-1.jpg,159,14,579,659,1,4,0
1209/BO00069-1.jpg,167,17,594,637,1,4,0
1209/BO00070-2.jpg,132,2,625,713,1,4,1
1209/BO00071-1.jpg,165,3,637,747,1,1,0
1209/BO00072-2.jpg,132,27,628,723,1,4,0
1209/BO00074-1.jpg,90,148,527,608,1,1,0
1209/BO00075-1.jpg,224,7,564,415,4,4,0
1209/BO00076-1.jpg,135,10,625,733,1,4,0
1209/BO00077-1.jpg,148,166,596,662,1,4,0
1209/BO00078-1.jpg,193,29,536,440,1,4,0
1209/BO00080-1.jpg,57,167,434,467,1,4,0
1209/BO00081-3.jpg,9,73,813,589,1,4,0
1209/BO00082-1.jpg,129,274,329,502,4,4,0
1209/BO00083-1.jpg,72,90,350,441,1,4,0
1209/BO00084-1.jpg,39,107,603,719,1,4,1
1209/BO00086-1.jpg,45,122,549,561,1,4,1
1209/BO00087-1.jpg,46,287,486,599,4,2,1
1209/BO00088-1.jpg,0,44,563,646,1,4,0
1209/BO00089-1.jpg,71,43,558,604,1,2,0
1209/BO00090-1.jpg,0,38,638,538,1,1,0
1209/BO00091-1.jpg,2,100,634,608,1,2,0
1209/BO00093-2.jpg,71,51,566,617,1,4,0
1209/BO00094-1.jpg,109,104,609,542,1,4,0
1209/BO00095-1.jpg,104,47,543,593,1,4,0
1209/BO00096-1.jpg,136,38,408,417,1,4,1
1209/BO00097-1.jpg,153,203,533,414,1,4,2
1209/BO00098-1.jpg,229,99,583,560,1,4,0
1209/BO00099-1.jpg,66,47,569,437,1,1,0
1209/BO00100-1.jpg,170,187,414,482,4,4,1
1209/BO00102-1.jpg,50,110,472,509,1,2,2
1209/BO00103-1.jpg,41,71,617,616,1,2,0
1209/BO00105-1.jpg,31,70,558,450,1,4,0
1209/BO00106-1.jpg,148,42,608,460,3,3,1
1209/BO00107-1.jpg,196,138,428,406,1,4,0
1209/BO00108-1.jpg,174,108,458,496,1,4,0
1209/BO00109-1.jpg,122,243,482,571,4,4,0
1209/BO00110-1.jpg,257,201,373,333,1,4,0
1209/BO00111-1.jpg,194,40,467,293,1,2,0
1209/BO00112-1.jpg,22,41,590,524,4,4,0
1209/BO00113-1.jpg,228,152,471,461,1,4,0
1209/BO00114-1.jpg,49,77,578,427,4,4,0
1209/BO00115-1.jpg,162,161,462,543,4,4,0
1209/BO00117-1.jpg,133,50,521,494,4,4,0
1209/BO00118-1.jpg,78,169,482,517,4,4,0
1209/BO00120-1.jpg,80,49,512,613,4,4,2
1209/BO00121-1.jpg,2,3,554,515,1,2,0
1209/BO00123-1.jpg,122,141,486,541,4,4,0
1209/BO00126-2.jpg,122,66,518,550,1,1,0
1209/BO00127-1.jpg,189,59,473,459,1,2,1
1209/BO00128-1.jpg,111,75,491,527,1,2,0
1209/BO00129-1.jpg,183,39,503,387,1,4,0
1209/BO00130-1.jpg,177,80,345,296,1,4,0
1209/BO00131-1.jpg,154,49,474,497,4,4,0
1209/BO00132-1.jpg,186,191,446,563,1,4,0
1209/BO00133-1.jpg,108,38,528,538,4,4,2
1209/BO00134-1.jpg,176,38,457,472,1,2,0
1209/BO00135-1.jpg,299,249,819,1013,1,3,0
1209/BO00136-1.jpg,352,228,788,780,1,3,1
1209/BO00137-2.jpg,248,307,836,1192,1,2,1
1209/BO00139-1.jpg,328,245,728,733,1,3,0
1209/BO00140-1.jpg,363,235,823,739,1,3,1
1209/BO00142-2.jpg,250,310,826,1194,1,3,0
1209/BO00143-2.jpg,249,307,821,1195,1,3,0
1209/BO00144-1.jpg,412,395,768,807,3,3,2
1209/BO00145-1.jpg,350,363,738,883,1,2,2
1209/BO00145-3.jpg,229,301,853,1185,1,2,2
1209/BO00146-1.jpg,373,361,729,785,1,1,1
1209/BO00146-3.jpg,219,312,867,1196,1,1,1
1209/BO00147-3.jpg,122,305,954,1421,1,3,1
1209/BO00148-1.jpg,340,415,876,987,1,3,1
1209/BO00149-1.jpg,410,383,774,776,1,2,1
1209/BO00150-1.jpg,230,509,778,1169,1,3,1
1209/BO00151-1.jpg,163,209,419,617,1,3,0
1209/BO00152-1.jpg,386,416,666,800,3,3,1
1209/BO00153-1.jpg,277,312,797,1180,1,3,0
1209/BO00154-1.jpg,203,313,879,1188,1,1,1
1209/BO00155-1.jpg,224,309,857,1187,1,1,0
1209/BO00156-1.jpg,266,307,812,1195,1,3,1
1209/BO00157-3.jpg,240,307,836,1195,1,2,1
1209/BO00159-1.jpg,246,307,835,1184,1,3,2
1209/BO00161-1.jpg,211,307,867,1191,1,3,1
1209/BO00163-1.jpg,176,228,520,736,1,3,1
1209/BO00164-1.jpg,137,162,345,458,1,3,0
1209/BO00165-1.jpg,160,225,452,642,1,3,0
1209/BO00165-3.jpg,111,63,551,871,1,3,0
1209/BO00166-1.jpg,374,398,646,686,1,2,1
1209/BO00167-3.jpg,70,68,646,744,1,3,0
1209/BO00168-2.jpg,275,308,807,1176,1,3,0
1209/BO00169-1.jpg,44,64,628,740,1,3,0
1209/BO00170-1.jpg,44,66,624,742,1,3,0
1209/BO00171-3.jpg,288,314,788,1190,1,3,0
1209/BO00172-1.jpg,137,312,949,1189,1,3,1
1209/BO00173-1.jpg,237,308,841,1188,1,3,1
1209/BO00175-1.jpg,421,292,705,632,1,3,1
1209/BO00176-2.jpg,299,311,783,1189,1,3,1
1209/BO00177-1.jpg,382,293,694,673,1,3,0
1209/BO00178-2.jpg,232,94,848,1398,1,3,1
1209/BO00179-1.jpg,181,426,845,1346,1,3,0
1209/BO00180-1.jpg,345,268,793,616,1,3,1
1209/BO00182-2.jpg,147,314,927,1190,1,3,1
1209/BO00184-3.jpg,123,302,939,1202,1,3,1
1209/BO00186-1.jpg,270,302,814,1193,1,4,0
1209/BO00187-1.jpg,202,313,872,1194,1,4,1
1209/BO00189-2.jpg,156,314,924,1194,1,1,1
1209/BO00191-1.jpg,161,309,917,1191,1,3,1
1209/BO00192-1.jpg,382,284,718,772,1,3,0
1209/BO00193-1.jpg,350,282,702,670,1,3,1
1209/BO00194-1.jpg,192,303,884,1191,1,3,1
1209/BO00195-1.jpg,189,308,873,1198,1,3,1
1209/BO00196-1.jpg,239,308,839,1200,1,3,0
1209/BO00197-1.jpg,240,307,840,1199,1,3,1
1209/BO00198-1.jpg,218,311,862,1203,1,3,0
1209/BO00199-2.jpg,224,241,856,1197,1,3,0
1209/BO00201-1.jpg,241,184,433,460,1,3,0
1209/BO00202-1.jpg,179,305,901,1190,1,3,0
1209/BO00203-1.jpg,152,305,928,1197,1,3,1
1209/BO00204-1.jpg,229,303,849,1195,1,3,1
1209/BO00205-1.jpg,217,300,861,1204,1,3,1
1209/BO00206-1.jpg,131,314,947,1178,1,3,1
1209/BO00207-2.jpg,200,323,878,1170,1,3,0
1209/BO00208-2.jpg,74,52,662,804,1,2,1
1209/BO00209-1.jpg,60,470,848,1442,3,3,2
1209/BO00210-1.jpg,246,311,842,1187,1,3,0
1209/BO00211-3.jpg,61,46,769,822,1,3,2
1209/BO00212-2.jpg,233,306,849,1189,1,2,2
1209/BO00213-2.jpg,211,307,867,1191,1,3,1
1209/BO00214-2.jpg,211,307,867,1191,1,3,1
1209/BO00215-1.jpg,379,278,767,750,1,3,0
1209/BO00248-1.jpg,201,304,893,1188,3,2,1
1209/BO00249-2.jpg,231,310,855,1190,2,3,0
1209/BO00250-1.jpg,117,456,955,1289,3,3,0
1209/BO00252-1.jpg,182,308,891,1195,3,0,0
1209/BO00253-2.jpg,121,308,933,1198,2,0,0
1209/BO00254-2.jpg,208,305,884,1190,1,2,0
1209/BO00258-1.jpg,135,308,949,1194,1,2,0
1209/BO00260-1.jpg,85,183,492,827,1,2,1
1209/BO00261-3.jpg,137,302,949,1194,1,0,1
1209/BO00263-1.jpg,153,314,899,1198,2,0,0
1209/BO00264-1.jpg,255,313,823,1190,2,0,1
1209/BO00265-1.jpg,203,305,876,1187,1,2,1
1209/BO00266-1.jpg,254,309,814,1206,1,2,1
1209/BO00268-1.jpg,137,309,948,1187,1,0,0
1209/BO00270-1.jpg,192,310,898,1191,2,0,0
1209/BO00271-2.jpg,81,69,533,641,2,2,1
1209/BO00274-1.jpg,192,267,886,1190,1,2,2
1209/BO00275-1.jpg,218,306,861,1195,1,2,0
1209/BO00276-1.jpg,119,306,954,1182,1,0,0
1209/BO00277-1.jpg,96,310,970,1195,1,2,0
1209/BO00278-1.jpg,97,298,978,1193,1,2,0
1209/BO00279-1.jpg,119,309,994,1271,1,2,1
1209/BO00280-1.jpg,175,311,912,1190,1,2,1
1209/BO00282-1.jpg,334,230,698,722,2,3,1
1209/BO00283-1.jpg,176,312,925,1189,1,2,1
1209/BO00285-1.jpg,104,311,981,1197,0,0,0
1209/BO00286-1.jpg,130,312,956,1205,0,0,0
1209/BO00287-1.jpg,173,311,906,1187,0,0,0
1209/BO00288-1.jpg,105,29,861,875,0,0,0
1209/BO00290-1.jpg,329,230,754,715,1,2,0
1209/BO00291-3.jpg,198,318,907,1191,1,2,1
1209/BO00293-1.jpg,366,245,785,750,2,0,0
